filename,label,span_start,span_end,span_text,code
es-S1139-76322015000400008-1,ENFERMEDAD,1219,1270,dilatación del tracto urinario de causa obstructiva,7163005
es-S1139-76322015000400008-1,ENFERMEDAD,720,749,dilatación de la vía urinaria,41368006
es-S0376-78922007000400008-1,ENFERMEDAD,2817,2838,fracaso multiorgánico,57653000
es-S0376-78922007000400008-1,ENFERMEDAD,48,55,bebedor,7200002
es-S0376-78922007000400008-1,ENFERMEDAD,2840,2859,fracaso renal agudo,14669001
es-S0376-78922007000400008-1,ENFERMEDAD,2861,2873,coagulopatia,64779008
es-S0376-78922007000400008-1,ENFERMEDAD,86,91,obeso,414916001
es-S0376-78922007000400008-1,ENFERMEDAD,2876,2914,síndrome de distrés respiratorio agudo,67782005
es-S0376-78922007000400008-1,ENFERMEDAD,1146,1153,ascitis,389026000
es-S0376-78922007000400008-1,ENFERMEDAD,1171,1190,hepatopatía crónica,328383001
es-S0376-78922007000400008-1,ENFERMEDAD,482,489,ascitis,389026000
es-S0376-78922007000400008-1,ENFERMEDAD,1193,1207,esplenomegalia,16294009
es-S0376-78922007000400008-1,ENFERMEDAD,1234,1259,insuficiencia renal aguda,723189000
es-S0376-78922007000400008-1,ENFERMEDAD,1282,1318,hepatópata crónico de origen enólico,713181003
es-S0376-78922007000400008-1,ENFERMEDAD,1321,1353,celulitis en extremidad inferior,449710006
es-S0376-78922007000400008-1,ENFERMEDAD,1629,1657,lesiones en miembro inferior,118937003
es-S0376-78922007000400008-1,ENFERMEDAD,1712,1721,celulitis,128045006
es-S0376-78922007000400008-1,ENFERMEDAD,1737,1745,ampollas,339008
es-S0376-78922007000400008-1,ENFERMEDAD,2360,2391,lesiones en extremidad inferior,118937003
es-S0376-78922007000400008-1,ENFERMEDAD,2447,2508,ampollas hasta el tercio medio de muslo y afectación escrotal,128135006+703864002
es-S0376-78922007000400008-1,ENFERMEDAD,25,46,alérgico a Penicilina,91936005
es-S0376-78922007000400008-1,ENFERMEDAD,610,619,petequias,271813007
es-S1130-01082008000900015-1,ENFERMEDAD,101,116,cuadro sincopal,271594007
es-S1130-01082008000900015-1,ENFERMEDAD,135,167,deposición melénica-rectorrágica,2901004+300392005
es-S1130-01082008000900015-1,ENFERMEDAD,828,852,mucosa gástrica ectópica,204676004
es-S1130-01082008000900015-1,ENFERMEDAD,868,889,divertículo de Meckel,37373007
es-S1130-01082008000900015-1,ENFERMEDAD,1008,1029,divertículo de Meckel,37373007
es-S1130-01082008000900015-1,ENFERMEDAD,1196,1207,divertículo,397881000
es-S1130-01082008000900015-1,ENFERMEDAD,1422,1476,divertículo de Meckel con mucosa gástrica heterotópica,37373007
es-S1130-01082008000900015-1,ENFERMEDAD,498,552,lesiones incipientes angiodisplásicas de colon y recto,197244008
es-S1137-66272013000200019-1,ENFERMEDAD,44,62,orejas prominentes,275478007
es-S1137-66272013000200019-1,ENFERMEDAD,1729,1785,oreja derecha presentó una dehiscencia pequeña de sutura,22247000
es-S1137-66272013000200019-1,ENFERMEDAD,115,163,orejas se desarrolló progresivamente un queloide,33659008
es-S1137-66272013000200019-1,ENFERMEDAD,205,214,queloides,33659008
es-S1137-66272013000200019-1,ENFERMEDAD,2036,2076,oreja derecha se desarrolló una recidiva,25906001
es-S1137-66272013000200019-1,ENFERMEDAD,1189,1207,nódulos queloideos,33659008
es-S1137-66272013000200019-1,ENFERMEDAD,1256,1282,atrofia de anejos cutáneos,238714008
es-S1137-66272013000200019-1,ENFERMEDAD,1519,1529,cicatrices,275322007
es-S1137-66272013000200019-1,ENFERMEDAD,493,501,lesiones,157670007
es-S1137-66272013000200019-1,ENFERMEDAD,2124,2132,queloide,33659008
es-S1137-66272013000200019-1,ENFERMEDAD,709,717,queloide,33659008
es-S1137-66272013000200019-1,ENFERMEDAD,969,977,queloide,33659008
es-S0211-69952014000200012-2,ENFERMEDAD,45,81,IRC secundaria a poliquistosis renal,723190009+253883006
es-S0211-69952014000200012-2,ENFERMEDAD,62,81,poliquistosis renal,253883006
es-S0211-69952014000200012-2,ENFERMEDAD,183,238,complicaciones del trasplante presentó un rechazo agudo,213148006
es-S0211-69952014000200012-2,ENFERMEDAD,394,442,pérdida del injerto renal por nefropatía crónica,236578006
es-S0211-69952014000200012-2,ENFERMEDAD,424,442,nefropatía crónica,709044004
es-S0211-69952014000200012-2,ENFERMEDAD,463,485,"hepatitis «no-A, no-B»",50711007
es-S0211-69952014000200012-2,ENFERMEDAD,1173,1201,eritema exudativo multiforme,36715001
es-S0211-69952014000200012-2,ENFERMEDAD,1005,1030,rechazo agudo del injerto,26522000
es-S1134-80462015000300003-1,ENFERMEDAD,41,83,alérgico a tetraciclinas y beta-lactámicos,294592000+419885006
es-S1134-80462015000300003-1,ENFERMEDAD,104,125,hipertensión arterial,38341003
es-S1134-80462015000300003-1,ENFERMEDAD,244,288,espondiloartrósico con componente miofascial,53332000
es-S1134-80462015000300003-1,ENFERMEDAD,870,886,ptosis palpebral,11934000
es-S1134-80462015000300003-1,ENFERMEDAD,947,953,ptosis,11934000
es-S1134-80462015000300003-1,ENFERMEDAD,1123,1139,ptosis palpebral,11934000
es-S1134-80462015000300003-1,ENFERMEDAD,1290,1306,miastenia gravis,91637004
es-S1134-80462015000300003-1,ENFERMEDAD,1151,1159,diplopía,24982008
es-S1134-80462015000300003-1,ENFERMEDAD,1308,1310,MG,91637004
es-S0212-71992007000300006-1,ENFERMEDAD,72,96,enolismo moderado-severo,713862009
es-S0212-71992007000300006-1,ENFERMEDAD,98,119,hipertensión arterial,38341003
es-S0212-71992007000300006-1,ENFERMEDAD,122,143,cardiopatía isquémica,194828000
es-S0212-71992007000300006-1,ENFERMEDAD,2282,2303,intoxicaciones por OP,8260003
es-S0212-71992007000300006-1,ENFERMEDAD,239,320,post-ingesta de un OP (Metasystox®: oxidemetón-metilo) en un intento de autolisis,304594002
es-S0212-71992007000300006-1,ENFERMEDAD,3041,3067,insuficiencia respiratoria,409623005
es-S0212-71992007000300006-1,ENFERMEDAD,3184,3196,intoxicación,75478009
es-S0212-71992007000300006-1,ENFERMEDAD,3408,3457,traqueobronquiolitis nosocomial por H. influenzae,73414003
es-S0212-71992007000300006-1,ENFERMEDAD,2846,2848,SI,432991000
es-S0212-71992007000300006-1,ENFERMEDAD,2998,3015,intoxicado por OP,77721001
es-S0212-71992007000300006-1,ENFERMEDAD,509,518,hipotenso,45007003
es-S0212-71992007000300006-1,ENFERMEDAD,2309,2333,mioclonías generalizadas,17450006
es-S0212-71992007000300006-1,ENFERMEDAD,2530,2549,mioclonías faciales,17450006
es-S1137-66272012000300021-1,ENFERMEDAD,1509,1529,perforación duodenal,270909006
es-S1137-66272012000300021-1,ENFERMEDAD,756,771,íleo paralítico,55525008
es-S1137-66272012000300021-1,ENFERMEDAD,1231,1298,colección líquida con abundante gas de localización retroperitoneal,734045002
es-S1137-66272012000300021-1,ENFERMEDAD,259,285,adenocarcinoma de próstata,399490008
es-S1137-66272012000300021-1,ENFERMEDAD,1378,1392,neumoperitoneo,17204006
es-S1137-66272012000300021-1,ENFERMEDAD,1403,1417,diverticulosis,397881000
es-S1137-66272012000300021-1,ENFERMEDAD,1559,1576,cuadro infeccioso,40733004
es-S0210-48062009000400016-1,ENFERMEDAD,37,63,adenocarcinoma de próstata,399490008
es-S0210-48062009000400016-1,ENFERMEDAD,1095,1109,cuadro séptico,238150007
es-S0210-48062009000400016-1,ENFERMEDAD,2018,2039,fístula uretro-rectal,15165002
es-S0210-48062009000400016-1,ENFERMEDAD,2465,2483,Disfunción eréctil,397803000
es-S0210-48062009000400016-1,ENFERMEDAD,1183,1197,cuadro séptico,238150007
es-S0210-48062009000400016-1,ENFERMEDAD,1767,1788,fístula vésico-rectal,68301001
es-S0210-48062009000400016-1,ENFERMEDAD,1487,1503,fístula urinaria,57243009
es-S0210-48062009000400016-1,ENFERMEDAD,1220,1236,fístula urinaria,57243009
es-S0210-48062009000400016-1,ENFERMEDAD,1506,1564,necrosis grasa en el tercio distal de la herida quirúrgica,781193006
es-S0210-48062009000400016-1,ENFERMEDAD,1290,1320,infección de herida quirúrgica,433202001
es-S0210-48062009000400016-1,ENFERMEDAD,1868,1898,infección de herida quirúrgica,433202001
es-S0210-48062009000400016-1,ENFERMEDAD,288,314,Adenocarcinoma de próstata,399490008
es-S0210-48062009000400016-1,ENFERMEDAD,651,667,fístula urinaria,57243009
es-S0210-48062009000400016-1,ENFERMEDAD,691,702,peritonitis,48661000
es-S0210-48062009000400016-1,ENFERMEDAD,848,904,peritonitis fecaloidea secundaria a perforación en sigma,235985005+712512004
es-S0210-48062009000400016-1,ENFERMEDAD,884,904,perforación en sigma,712512004
es-S0210-48062009000400016-1,ENFERMEDAD,1576,1621,musculatura abdominal como fondo de la úlcera,429040005
es-S0210-48062009000400016-1,ENFERMEDAD,356,361,tumor,55342001
es-S0210-48062009000400016-1,ENFERMEDAD,1959,1994,persistencia del orificio fistuloso,428794004
es-S1130-05582014000400006-1,ENFERMEDAD,79,100,hipertensión arterial,38341003
es-S1130-05582014000400006-1,ENFERMEDAD,114,138,enfermedad renal crónica,709044004
es-S1130-05582014000400006-1,ENFERMEDAD,962,998,edentulismo parcial maxilomandibular,444818007
es-S1130-05582014000400006-1,ENFERMEDAD,1712,1728,angina de Ludwig,196542004
es-S1130-05582014000400006-1,ENFERMEDAD,1000,1043,enfermedad periodontal crónica generalizada,128285007
es-S1130-05582014000400006-1,ENFERMEDAD,1210,1221,glosoptosis,3639002
es-S1130-05582014000400006-1,ENFERMEDAD,284,292,disfagia,288939007
es-S0465-546X2014000400012-1,ENFERMEDAD,70,94,Diabetes Mellitus tipo I,46635009
es-S0465-546X2014000400012-1,ENFERMEDAD,97,123,Síndrome de Túnel Carpiano,57406009
es-S0465-546X2014000400012-1,ENFERMEDAD,432,497,lesiones ampollosas en región dorsal de 4tº dedo de pie izquierdo,444659003
es-S0465-546X2014000400012-1,ENFERMEDAD,808,835,osteomielitis de la falange,60168000
es-S0465-546X2014000400012-1,ENFERMEDAD,1220,1226,lesión,417163006
es-S0365-66912012000200005-1,ENFERMEDAD,1415,1547,"sarcoidosis sistémica con afectación del sistema nervioso central, afectación del quiasma, nervio óptico, eje hipotálamo-hipofisario",111936002
es-S0365-66912012000200005-1,ENFERMEDAD,1178,1293,"ganglios a nivel cervical, supraclaviculares bilaterales, axilares bilaterales y también a nivel torácico y pélvico",127086001+127088000+127189005+127097001+127158006
es-S0365-66912012000200005-1,ENFERMEDAD,1552,1571,panhipopituitarismo,32390006
es-S0365-66912012000200005-1,ENFERMEDAD,1573,1586,hipogonadismo,48130008
es-S0365-66912012000200005-1,ENFERMEDAD,1588,1602,hipocorticismo,237785004
es-S0365-66912012000200005-1,ENFERMEDAD,1310,1336,adenopatía profunda axilar,127189005
es-S0365-66912012000200005-1,ENFERMEDAD,1026,1036,granulomas,128561003
es-S0365-66912012000200005-1,ENFERMEDAD,1369,1380,sarcoidosis,31541009
es-S0365-66912012000200005-1,ENFERMEDAD,2065,2084,atrofia peripapilar,420535003
es-S0365-66912012000200005-1,ENFERMEDAD,2115,2143,atrofia peripapilar temporal,420535003
es-S0365-66912012000200005-1,ENFERMEDAD,132,155,hipofunción hipofisaria,74728003
es-S0365-66912012000200005-1,ENFERMEDAD,816,859,dilatación del ventrículo lateral izquierdo,253541009
es-S1130-05582015000300007-1,ENFERMEDAD,2278,2325,neoplasia benigna de origen mesenquimal tipo FN,703616008
es-S1130-05582015000300007-1,ENFERMEDAD,1063,1137,lesión firmemente adherida a la fascia del músculo frontal y al pericráneo,26077002+118934005
es-S1130-05582015000300007-1,ENFERMEDAD,900,945,región costal derecha fue informada de lipoma,448270009
es-S1130-05582015000300007-1,ENFERMEDAD,145,156,traumatismo,417746004
es-S1130-05582015000300007-1,ENFERMEDAD,1632,1646,lesión nodular,27925004
es-S1130-01082005001100014-1,ENFERMEDAD,29,39,hipertensa,38341003
es-S1130-01082005001100014-1,ENFERMEDAD,60,80,ulcus gastroduodenal,13200003
es-S1130-01082005001100014-1,ENFERMEDAD,454,489,lesión submucosa en fundus gástrico,29384001
es-S1130-01082005001100014-1,ENFERMEDAD,1563,1582,schwannoma gástrico,404022001
es-S1130-01082005001100014-1,ENFERMEDAD,158,165,melenas,2901004
es-S1130-01082005001100014-1,ENFERMEDAD,634,668,lesión submucosa gástrica ulcerada,29384001
es-S1130-01082005001100014-1,ENFERMEDAD,1019,1077,gástrica presentaba una excavación secundaria a una úlcera,9829001
es-S1130-01082005001100014-1,ENFERMEDAD,717,735,sangrado digestivo,74474003
es-S1130-01082005001100014-1,ENFERMEDAD,1119,1166,adenopatías perilesionales ni en tronco celiaco,127117004
es-S1130-01082005001100014-1,ENFERMEDAD,1209,1255,tumor gástrico submucoso estromal (tumor GIST),128755003
es-S1130-01082005001100014-1,ENFERMEDAD,1244,1254,tumor GIST,420120006
es-S1130-01082005001100014-1,ENFERMEDAD,1377,1401,complicación hemorrágica,50960005
es-S1130-01082005001100014-1,ENFERMEDAD,535,545,ulceración,429040005
S0004-06142007000100011-1,ENFERMEDAD,102,125,trastornos en la visión,95677002
S0004-06142007000100011-1,ENFERMEDAD,390,422,enfermedad de transmisión sexual,8098009
S0004-06142007000100011-1,ENFERMEDAD,863,886,Aftosis oral recurrente,723177002
S0004-06142007000100011-1,ENFERMEDAD,900,907,uveítis,128473001
S0004-06142007000100011-1,ENFERMEDAD,1233,1253,enfermedad de Behcet,41225007
S0004-06142007000100011-1,ENFERMEDAD,64,99,lesiones aftosas orales recurrentes,398870000
S0004-06142007000100011-1,ENFERMEDAD,172,225,lesiones ulcerosas en región genital (pene y escroto),95589007
S0004-06142007000100011-1,ENFERMEDAD,526,534,lesiones,157670007
S0004-06142007000100011-1,ENFERMEDAD,663,677,lesión tumoral,55342001
S0004-06142007000100011-1,ENFERMEDAD,934,951,Úlceras genitales,724386005
S0004-06142007000100011-1,ENFERMEDAD,119,146,visión (pérdida progresiva),105597003
S0004-06142007000100011-1,ENFERMEDAD,726,752,pérdida de la visión total,193699007
S0004-06142007000100011-1,ENFERMEDAD,909,929,pérdida de la visión,267631003
S0004-06142007000100011-1,ENFERMEDAD,1139,1173,pústula sobre una base eritematosa,271760008
es-S0365-66912010000300005-1,ENFERMEDAD,174,186,hipertensión,38341003
es-S0365-66912010000300005-1,ENFERMEDAD,189,199,dislipemia,370992007
es-S0365-66912010000300005-1,ENFERMEDAD,1606,1629,hemorragia subretiniana,13937002
es-S0365-66912010000300005-1,ENFERMEDAD,768,799,subretiniana de esta hemorragia,13937002
es-S0365-66912010000300005-1,ENFERMEDAD,216,234,bronquitis crónica,63480004
es-S0365-66912010000300005-1,ENFERMEDAD,240,271,accidente isquémico transitorio,266257000
es-S0365-66912010000300005-1,ENFERMEDAD,1464,1491,sangre en el ámbito macular,247161000
es-S0365-66912010000300005-1,ENFERMEDAD,1953,1963,hemovítreo,31341008
es-S0365-66912010000300005-1,ENFERMEDAD,1716,1732,DMAE hemorrágica,267718000
es-S0365-66912010000300005-1,ENFERMEDAD,911,931,membrana neovascular,61267008
es-S0365-66912010000300005-1,ENFERMEDAD,933,936,MNV,61267008
es-S0365-66912010000300005-1,ENFERMEDAD,577,600,hemorragia subretiniana,13937002
es-S0365-66912010000300005-1,ENFERMEDAD,439,463,defecto pupilar aferente,232121005
es-S0378-48352005000400004-1,ENFERMEDAD,1989,2007,patología tiroidea,14304000
es-S0378-48352005000400004-1,ENFERMEDAD,318,344,neoplasia a nivel visceral,372287009
es-S0378-48352005000400004-1,ENFERMEDAD,2340,2363,metástasis a nivel óseo,94222008
es-S0378-48352005000400004-1,ENFERMEDAD,2379,2398,metástasis pulmonar,94391008
es-S0378-48352005000400004-1,ENFERMEDAD,1451,1499,metástasis ósea de Carcinoma Medular de Tiroides,424887002
es-S0378-48352005000400004-1,ENFERMEDAD,627,636,neoplasia,55342001
es-S0378-48352005000400004-1,ENFERMEDAD,223,259,lesiones óseas líticas generalizadas,203522001
es-S0212-16112013000300056-1,ENFERMEDAD,21,51,enfermedad de Crohn ileocólica,38106008+50440006
es-S0212-16112013000300056-1,ENFERMEDAD,1612,1636,disfunción multiorgánica,57653000
es-S0212-16112013000300056-1,ENFERMEDAD,1653,1667,cuadro séptico,238150007
es-S0212-16112013000300056-1,ENFERMEDAD,2572,2640,neumonía asociada a ventilación mecánica por Acinetobacter baumannii,1010634002
es-S0212-16112013000300056-1,ENFERMEDAD,983,996,shock séptico,76571007
es-S0212-16112013000300056-1,ENFERMEDAD,2643,2678,polineuropatía del paciente crítico,230594005
es-S0212-16112013000300056-1,ENFERMEDAD,1816,1840,hemorragia subaracnoidea,21454007
es-S0212-16112013000300056-1,ENFERMEDAD,1343,1369,endocarditis sobre catéter,56819008
es-S0212-16112013000300056-1,ENFERMEDAD,1895,1914,infartos esplénicos,22996003
es-S0212-16112013000300056-1,ENFERMEDAD,1936,1962,émbolos sépticos múltiples,414086009
es-S0212-16112013000300056-1,ENFERMEDAD,2452,2466,cuadro séptico,238150007
es-S0212-16112013000300056-1,ENFERMEDAD,1776,1785,infección,40733004
es-S0212-16112013000300056-1,ENFERMEDAD,1241,1270,vegetaciones sobre el catéter,459055004+429268001
es-S0212-16112013000300056-1,ENFERMEDAD,2101,2126,catéter con la vegetación,86100009+440653007
es-S1137-66272009000300015-1,ENFERMEDAD,3692,3746,"nervio sural izquierdo, que mostró degeneración axonal",426293000
es-S1137-66272009000300015-1,ENFERMEDAD,3801,3823,infarto por vasculitis,31996006
es-S1137-66272009000300015-1,ENFERMEDAD,742,759,lesiones cutáneas,95324001
es-S1137-66272009000300015-1,ENFERMEDAD,763,774,adenopatías,30746006
es-S1137-66272009000300015-1,ENFERMEDAD,1643,1658,hepatitis B y C,442374005
es-S1137-66272009000300015-1,ENFERMEDAD,1608,1612,lúes,76272004
es-S1130-01082009000400014-1,ENFERMEDAD,57,80,adenocarcinoma gástrico,408647009
es-S1130-01082009000400014-1,ENFERMEDAD,258,294,alergia a la vitamina B (Neuromade®),416098002
es-S1130-01082009000400014-1,ENFERMEDAD,330,369,fístula de la anastomosis gastroyeyunal,235673004
es-S1130-01082009000400014-1,ENFERMEDAD,610,630,nistagmus horizontal,81756001
es-S1130-01082009000400014-1,ENFERMEDAD,633,647,oftalmoparesia,35158001
es-S1699-695X2014000200012-1,ENFERMEDAD,707,770,glándula parótida derecha se identifican dos lesiones nodulares,126788000
es-S1699-695X2014000200012-1,ENFERMEDAD,1470,1531,"lesiones nodulares heterogéneas, en ambas glándulas parótidas",126788000
es-S1699-695X2014000200012-1,ENFERMEDAD,1370,1386,tumor de Warthin,422470007
es-S1699-695X2014000200012-1,ENFERMEDAD,1261,1277,tumor de Warthin,422470007
es-S1699-695X2014000200012-1,ENFERMEDAD,1869,1908,tumor de Warthin multifocal y bilateral,20776008
es-S1699-695X2014000200012-1,ENFERMEDAD,136,146,hipertenso,38341003
es-S1699-695X2014000200012-1,ENFERMEDAD,151,160,diabético,73211009
es-S1699-695X2014000200012-1,ENFERMEDAD,171,181,dislipemia,370992007
es-S1699-695X2014000200012-1,ENFERMEDAD,198,207,cataratas,193570009
es-S1699-695X2014000200012-1,ENFERMEDAD,938,989,parótida izquierda se identifica una lesión nodular,126788000
es-S1699-695X2014000200012-1,ENFERMEDAD,1723,1765,tumor de Warthin multicéntrico y bilateral,20776008
es-S1699-695X2014000200012-1,ENFERMEDAD,95,118,alergias medicamentosas,416098002
es-S1699-695X2014000200012-1,ENFERMEDAD,33,40,fumador,77176002
es-S0212-16112011000600041-2,ENFERMEDAD,49,70,tuberculosis pulmonar,154283005
es-S0212-16112011000600041-2,ENFERMEDAD,984,1011,enfermedad pierde proteínas,66972006
es-S0212-16112011000600041-2,ENFERMEDAD,1226,1245,hipertensión portal,34742003
es-S0212-16112011000600041-2,ENFERMEDAD,581,600,esteatosis hepática,197321007
es-S0212-16112011000600041-2,ENFERMEDAD,603,622,hipertensión portal,34742003
es-S0212-16112011000600041-2,ENFERMEDAD,658,665,ascitis,389026000
es-S0212-16112011000600041-2,ENFERMEDAD,823,841,varices esofágicas,28670008
es-S0212-16112011000600041-2,ENFERMEDAD,865,880,hernia de hiato,84089009
es-S0212-16112011000600041-2,ENFERMEDAD,883,930,gastropatía secundaria a la hipertensión portal,303082009
es-S0212-16112011000600041-2,ENFERMEDAD,131,147,bebedor moderado,7200002
es-S0212-16112011000600041-2,ENFERMEDAD,767,776,hepatitis,128241005
es-S0212-16112011000600041-2,ENFERMEDAD,702,741,consumo excesivo de bebidas alcohólicas,160592001
es-S1698-69462006000100017-1,ENFERMEDAD,29,37,fumadora,77176002
es-S1698-69462006000100017-1,ENFERMEDAD,695,744,molar asociado con la lesión por decúbito lingual,300246005
es-S1698-69462006000100017-1,ENFERMEDAD,89,103,Cáncer de mama,254837009
es-S1698-69462006000100017-1,ENFERMEDAD,111,113,M0,89474008
es-S1698-69462006000100017-1,ENFERMEDAD,193,237,progresión metastásica del carcinoma de mama,254838004
es-S1698-69462006000100017-1,ENFERMEDAD,576,645,lesión ulcerosa de 5 mm de diámetro en el borde lateral de hemilengua,66123000
es-S1698-69462006000100017-1,ENFERMEDAD,1387,1401,lesión lingual,300246005
es-S1130-05582017000200122-1,ENFERMEDAD,471,481,exoftalmos,18265008
es-S1130-05582017000200122-1,ENFERMEDAD,486,497,hipoftalmos,231849002
es-S1130-05582017000200122-1,ENFERMEDAD,97,118,hiperémesis gravídica,90325002
